id,topic_id,question_text,image,question_type
0,0,The title 'Afternoons' is significant because...,,multiple
1,0,The poem opens with 'Summer is...',,multiple
2,0,What does the image of the leaves falling suggest?,,multiple
3,0,The poem's action takes place in a 'recreation ground' and refers to an 'estateful of washing' (i.e. a housing estate). These were quite new ideas when the poem was written. Which decade was this?,,multiple
4,0,"In the phrase 'hollows of afternoons', the word 'hollows' suggests...",,multiple
5,0,The image 'an estateful of washing' suggests...,,multiple
6,0,What do the photograph albums represent?,,multiple
7,0,Larkin says 'their beauty has thickened'. What does this suggest?,,multiple
8,0,Something is pushing them to the side of their own lives. Which option best describes what that 'something' is?,,multiple
9,0,Enter the title of the other anthology poem that uses the seasons.,,short_answer
10,0,Which one of these poems would the best choice to go with 'Afternoons' if the question were about time passing?,,multiple
11,0,Which one of these poems would be the best choice to go with 'Afternoons' if the question was about growing older?,,multiple
12,1,Price is determined by adding a profit element on top of the cost of making the product.,,multiple
13,1,Where prices are determined by what a firm believes customers will be prepared to pay,,multiple
14,1,Where competitor prices are the main influence on the price set,,multiple
15,1,Involves setting a high price before other competitors come into the market,,multiple
16,1,A product priced below cost-price in order to attract consumers into a shop or online store,,multiple
17,1,A pricing stategy that is used to make the customer believe the product is cheaper than it really is,,multiple
18,1,"The pricing technique of setting a relatively low initial entry price, usually lower than the intended established price, to attract new customers",,multiple
19,2,Increasing selling prices,,multiple
20,3,A way of segmenting the market beginning with A,,multiple
21,3,A way of segmenting the market beginning with I,,multiple
22,3,A way of segmenting the market beginning with L,,multiple
23,3,Another name for primary research,,multiple
24,3,Another name for secondary research,,multiple
25,3,A benefit of secondary research,,multiple
26,3,A benefit of primary research,,multiple
27,3,A drawback of primary research,,multiple
28,3,A drawback of secondary research,,multiple
29,3,Most businesses exist to...,,multiple
30,3,A business that provides a service,,multiple
31,3,A target market is...,,multiple
32,3,Market segmentation can improve customer retention,,multiple
33,3,An example of primary research,,multiple
34,4,A variable cost for a coffee shop,,multiple
35,4,A fixed cost for a coffee shop,,multiple
36,4,How is total cost calculated?,,multiple
37,4,Not a line on a break even chart,,multiple
38,4,How is revenue calculated?,,multiple
39,4,The horizonal line on a break even chart,,multiple
40,4,An increase in selling price if everything else stays the same,,multiple
41,4,A decrease in selling price if everything else stays the same,,multiple
42,4,Fixed costs increase and everything else stays the same,,multiple
43,4,What are costs?,,multiple
44,4,There are two tyes of costs - what are they?,,multiple
45,4,A variable cost for a business designing wedding dresses,,multiple
46,4,A fixed cost for a business designing wedding dresses,,multiple
47,4,A fixed cost for Middlesbrough FC,,multiple
48,5,The stage before decline in the product life cycle,,multiple
49,5,The stage after growth in the product life cycle,,multiple
50,5,The stage before introduction in the product life cycle,,multiple
51,5,"This gives its owner the right to exclude others from making, using, selling, and importing an invention for a limited period of time",,multiple
52,5,USP,,multiple
53,5,Copyright,,multiple
54,5,Unemployment,,multiple
55,5,The name given to strategies that attempt save a product that has entered the decline stage,,multiple
56,5,External factors are things that a business has not control over,,multiple
57,5,Sales are high during the Introduction stage,,multiple
58,5,Sales are at their highest during the maturity stage,,multiple
59,5,Sales begin to increase during the decline stage,,multiple
60,5,All product reach the growth stage of the product life cycle,,multiple
61,5,Technology has made the production of goods more efficient,,multiple
62,5,Technology usually increases the need for regular staff training,,multiple
63,5,Businesses can legally copy patented ideas / products,,multiple
64,5,Businesses can legally add the logos of successful brands to their products,,multiple
65,6,Charging a low price when the product first goes on sale and then increasing the price over time,,multiple
66,6,Apple choosing to charge £429 for an Apple Watch,,multiple
67,6,The pricing strategy used by most soft drinks companies in the UK,,multiple
68,6,The sales promotion where the customer receive two identical items but only pays for one,,multiple
69,6,The sales promotion where customers can win prizes if they make a purchase,,multiple
70,6,The sales promotion where repeat custom is rewarded,,multiple
71,6,The sales promotion where displays are used in highly visible areas,,multiple
